MHxPC130288276,1,0,0,0,United States,Secondary,2012,m,0,8/30/2013,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130422039,1,0,0,0,Unknown/Other,Secondary,1987,m,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130407931,1,0,0,0,United States,Secondary,1968,f,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130064950,1,0,0,0,Unknown/Other,Master's,1978,m,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130202970,1,1,0,0,United States,Bachelor's,1988,m,0,7/24/2012,3/28/2013,8,1,,1,0,,,HarvardX/CS50x/2012
MHxPC130119162,1,0,0,0,Greece,Secondary,1993,f,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130274988,1,0,0,0,Canada,Master's,1981,m,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130068486,1,0,0,0,Unknown/Other,Master's,1980,m,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130330616,1,1,1,0,Unknown/Other,Secondary,1991,m,0,7/24/2012,,,,,10,0,,1,HarvardX/CS50x/2012
MHxPC130153660,1,0,0,0,Other Middle East/Central Asia,Master's,1981,m,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130503908,1,0,0,0,Unknown/Other,Secondary,1989,m,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130160239,1,1,0,0,Unknown/Other,Secondary,1993,m,0,7/24/2012,,,,,1,0,,1,HarvardX/CS50x/2012
MHxPC130554389,1,0,0,0,Unknown/Other,Bachelor's,1991,m,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130266848,1,1,0,0,Unknown/Other,Bachelor's,1977,m,0,7/24/2012,,,,,2,0,,1,HarvardX/CS50x/2012
MHxPC130066057,1,1,1,0,India,Bachelor's,1988,f,0,7/24/2012,,,,,6,0,,1,HarvardX/CS50x/2012
MHxPC130223941,1,1,0,0,Other Middle East/Central Asia,Secondary,1992,m,0,7/24/2012,7/15/2013,25,2,,4,0,,,HarvardX/CS50x/2012
MHxPC130594472,1,0,0,0,Pakistan,Secondary,1992,m,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130191782,1,1,0,0,Pakistan,Bachelor's,1990,m,0,7/24/2012,5/5/2013,2,2,,1,0,,,HarvardX/CS50x/2012
MHxPC130267000,1,0,0,0,Other South Asia,Master's,1980,f,0,7/24/2012,,,1,,,0,,1,HarvardX/CS50x/2012
MHxPC130435800,1,1,0,0,India,,1992,m,0,7/24/2012,4/17/2013,10,3,,2,0,,,HarvardX/CS50x/2012
MHxPC130235150,1,1,1,0,India,Bachelor's,1990,m,0,7/24/2012,3/28/2013,8,1,,12,0,,,HarvardX/CS50x/2012
MHxPC130001411,1,1,1,0,Other Europe,,1984,m,0,7/24/2012,4/22/2013,49,2,,12,0,,,HarvardX/CS50x/2012
MHxPC130418582,1,0,0,0,India,Master's,1982,f,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130469401,1,1,0,0,Other Middle East/Central Asia,,,,0,7/24/2012,4/1/2013,47,7,,2,0,,,HarvardX/CS50x/2012
MHxPC130059473,1,0,0,0,Unknown/Other,Bachelor's,1982,m,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130110073,1,0,0,0,Other Europe,Master's,1977,m,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130292159,1,1,0,0,India,Master's,1983,m,0,7/24/2012,3/25/2013,3,1,,1,0,,,HarvardX/CS50x/2012
MHxPC130260706,1,0,0,0,Unknown/Other,Master's,1979,m,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130069875,1,1,1,0,India,Secondary,1994,m,0,2/12/2013,4/18/2013,245,10,,12,0,,,HarvardX/CS50x/2012
MHxPC130430045,1,1,0,0,United States,Secondary,1968,f,0,7/24/2012,,,,,1,0,,1,HarvardX/CS50x/2012
MHxPC130129996,1,0,0,0,India,Master's,1967,m,0,10/3/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130197564,1,1,0,0,United States,Bachelor's,1984,m,0,7/24/2012,6/4/2013,14,8,,1,0,,,HarvardX/CS50x/2012
MHxPC130320562,1,1,1,1,Other Europe,Master's,1983,m,1,7/24/2012,5/6/2013,691,59,,12,0,,,HarvardX/CS50x/2012
MHxPC130526455,1,0,0,0,Egypt,Bachelor's,1989,m,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130021254,1,1,0,0,Other South Asia,Bachelor's,1986,m,0,7/24/2012,8/1/2013,1,1,,2,0,,,HarvardX/CS50x/2012
MHxPC130442901,1,0,0,0,India,Master's,1969,m,0,7/24/2012,,,1,,,0,,1,HarvardX/CS50x/2012
MHxPC130176766,1,0,0,0,United States,Bachelor's,1991,m,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130163278,1,1,0,0,United States,Secondary,1992,m,0,7/29/2012,,,,,2,0,,1,HarvardX/CS50x/2012
MHxPC130445778,1,0,0,0,Unknown/Other,Bachelor's,1985,m,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130544106,1,0,0,0,Other Europe,Bachelor's,1983,f,0,7/24/2012,,,1,,,0,,1,HarvardX/CS50x/2012
MHxPC130342017,1,1,0,0,United States,Bachelor's,1990,m,0,7/24/2012,3/25/2013,31,5,,3,0,,,HarvardX/CS50x/2012
MHxPC130348485,1,0,0,0,Unknown/Other,Secondary,1989,f,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130452364,1,1,0,0,Greece,Master's,1977,m,0,7/24/2012,,,,,2,0,,1,HarvardX/CS50x/2012
MHxPC130291482,1,1,0,0,Unknown/Other,Bachelor's,1983,m,0,9/4/2012,,,,,1,0,,1,HarvardX/CS50x/2012
MHxPC130235519,1,0,0,0,Other Europe,Bachelor's,1986,m,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130174737,1,0,0,0,Brazil,Bachelor's,1971,m,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130296213,1,1,0,0,India,Bachelor's,1988,m,0,12/20/2012,3/10/2013,14,1,,5,0,,,HarvardX/CS50x/2012
MHxPC130549581,1,0,0,0,Other Europe,Bachelor's,1974,f,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130291750,1,1,1,0,Unknown/Other,Secondary,1993,m,0,8/17/2012,,,,,7,0,,1,HarvardX/CS50x/2012
MHxPC130352431,1,0,0,0,Other Europe,Bachelor's,1990,f,0,7/24/2012,,,,,,0,,,HarvardX/CS50x/2012
MHxPC130015760,1,1,1,0,India,Secondary,1994,m,0,7/24/2012,5/23/2013,15,4,,12,0,,,HarvardX/CS50x/2012
MHxPC130003904,1,1,0,0,Unknown/Other,Bachelor's,1991,m,0,7/24/2012,,,,,1,0,,1,HarvardX/CS50x/2012
